period(s),gaslimit,tps(tx/s),latency(ms),contracttime(渭s),dbreaadtime(渭s),dbwritetime(渭s),blockcommittime(ms)
6,15750000,102.5641026,38288.06037,9.709282164,4307.0895,5587.651857,5994.384615
6,15900000,102.5641026,37653.95051,9.697644886,4924.511929,5690.430643,5994.076923
6,16050000,111.1111111,37147.32021,8.996655904,7049.763077,6462.383538,5991.083333
6,16200000,111.1111111,36647.039,8.984335407,5310.805308,6644.411615,5993.916667
6,16350000,111.1111111,36182.80627,8.97192821,4580.167692,6015.626846,5994.666667
6,16500000,111.1111111,35682.4022,8.965065502,5657.127538,9314.268231,5992.416667
6,16650000,111.1111111,35140.23285,8.950987144,7153.821846,7093.141231,5991.25
6,16800000,111.1111111,34650.61005,8.942329741,5117.075,6537.180462,5993.583333
6,16950000,121.2121212,34200.71254,8.248053138,4861.568833,7791.458667,5994.545455
6,17100000,121.2121212,33805.19823,8.236101579,4031.712583,7048.66975,5995.454545
6,17250000,121.2121212,33418.48731,8.225891225,3726.026,7588.01625,5994.909091
6,17400000,121.2121212,33024.05974,8.217301986,4038.504,8426.64375,5994.636364
6,17550000,121.2121212,32550.69704,8.20747834,5786.741417,7038.68925,5993.181818
6,17700000,121.2121212,32186.79753,8.198474152,4033.587167,7246.641833,5994.181818
6,17850000,121.2121212,31716.8289,8.188580528,3750.0235,7004.531,5994.454545
6,18000000,133.3333333,31293.44457,7.499716006,4197.468636,8683.975909,5995.3
6,18150000,133.3333333,30921.78703,7.494610235,5751.249455,8247.842545,5994
6,18300000,133.3333333,30701.33783,7.479029698,4685.580727,8143.533273,5994.2
6,18450000,133.3333333,30384.24172,7.468976449,4469.226636,7853.668091,5995.3
6,18600000,133.3333333,30024.2286,7.46392219,4514.391364,8259.675818,5995
6,18750000,133.3333333,29696.25772,7.457184817,4587.273818,8857.555,5994.5
6,18900000,133.3333333,29313.06037,7.446513202,3791.978545,7773.727091,5995.6
6,19050000,133.3333333,29026.84214,7.437056238,4014.705909,7919.281,5992.5
6,19200000,133.3333333,28656.62217,7.430034898,3667.587818,8807.280091,5994.6
6,19350000,148.1481481,28309.86352,6.748706993,4805.8229,8579.8534,5994.444444
6,19500000,148.1481481,28098.41845,6.739413681,5857.2584,9172.8904,5994.222222
6,19650000,148.1481481,27760.30821,6.73342309,5963.1207,9988.4832,5992.888889
6,19800000,148.1481481,27451.50294,6.72150622,4927.8238,8635.5639,5994.777778
6,19950000,148.1481481,27272.69429,6.719131311,7729.3022,8552.6602,5990.888889
6,20100000,148.1481481,26973.99888,6.706250699,6666.421,8545.9096,5992.333333
6,20250000,148.1481481,26682.76328,6.701440858,6917.9481,8771.2069,5992
6,20400000,148.1481481,26406.35596,6.693740935,4210.6269,8791.4403,5994
6,20550000,148.1481481,26146.7949,6.687207488,4688.4742,8204.1941,5994.333333
6,20700000,148.1481481,25822.8259,6.676869991,7185.23,8449.3934,5990.666667
6,20850000,148.1481481,25595.54918,6.670483602,4825.6906,10289.3221,5992.888889
6,21000000,166.6666667,25341.9905,5.999555802,5263.776222,9732.810667,5994.5
6,21150000,166.6666667,25090.39358,6.654835847,7123.8638,8768.0986,5992.333333
6,21300000,166.6666667,24966.49169,5.982162641,5648.819444,9363.709778,5993
6,21450000,166.6666667,24707.37808,6.641916565,4428.856,10085.2516,5995.777778
6,21600000,166.6666667,24481.56755,5.96893998,6885.060111,9364.834333,5993.5
6,21750000,166.6666667,24279.8009,5.961245446,5933.860556,10495.03567,5994.125
6,21900000,166.6666667,24031.03962,5.953347303,5087.137778,9762.814333,5994.625
6,22050000,166.6666667,23792.1761,5.948991958,5761.540778,9271.304778,5993.625
