period(s),gaslimit,tps(tx/s),latency(ms),contracttime(μs),dbreaadtime(μs),dbwritetime(μs),blockcommittime(ms),readtime(ms),blockpropagationtime(ms)
6,28200000,190.4761905,16333.85452,4.29613319,3078.922222,10562.12288,4992.285714,6.25ms,blockpropagation
6,28350000,190.4761905,16298.91314,4.833404941,3450.358674,16586.66211,4993.5,4.74ms,blockpropagation
6,28500000,190.4761905,16259.30296,4.298174006,3728.88236,10822.8895,4993.714286,4.24ms,blockpropagation
6,28650000,190.4761905,16283.97813,4.295059076,3844.788163,10466.42188,4991.714286,5.08ms,blockpropagation
6,28800000,190.4761905,16309.46269,4.296562836,5272.326667,11009.84175,4982.857143,5.48ms,blockpropagation
6,28950000,190.4761905,16284.26972,4.298603652,3562.784082,10719.87925,4993.428571,5.02ms,blockpropagation
6,29100000,190.4761905,16286.65492,4.294522019,3906.210561,24964.37975,4992.857143,4.25ms,blockpropagation
6,29250000,190.4761905,16285.89289,4.294736842,3577.473872,10970.02425,4992.428571,5.43ms,blockpropagation
6,29400000,190.4761905,16305.24422,4.296670247,3891.020182,11025.23313,4994.142857,5.27ms,blockpropagation
6,29550000,190.4761905,16264.63105,4.295488722,3447.090216,10960.621,4990.857143,4.84ms,blockpropagation
6,29700000,190.4761905,16303.56668,4.296562836,3649.612646,11012.80813,4990.285714,4.84ms,blockpropagation
6,29850000,190.4761905,16322.00187,4.29688507,3555.472432,11194.3195,4992.857143,4.76ms,blockpropagation
6,30000000,190.4761905,16295.6023,4.296348013,3392.965357,10900.33338,4992.714286,5.06ms,blockpropagation
7,15000000,163.2653061,16340.63242,4.832760473,4197.384942,13055.96833,4993,5.24ms,blockpropagation
7,15150000,163.2653061,16318.49731,4.834264232,2957.580744,6305.608333,4994.625,5.11ms,blockpropagation
7,15300000,163.2653061,16293.94376,4.296670247,3960.477089,7697.608125,4991.714286,5.27ms,blockpropagation
7,15450000,163.2653061,16301.69979,4.298818475,4506.03542,7985.0655,4991.142857,4.35ms,blockpropagation
7,15600000,163.2653061,16083.93063,4.83104189,3727.846588,12133.52667,4992.75,5.86ms,blockpropagation
7,15750000,163.2653061,16330.5733,4.83329753,4001.579136,7317.953778,4989.125,5.8ms,blockpropagation
7,15900000,163.2653061,16328.53018,4.296240602,3220.699733,8538.40225,4992.571429,4.75ms,blockpropagation
7,16050000,163.2653061,16337.45682,4.296455424,3859.877333,9527.64325,4993.571429,4.75ms,blockpropagation
7,16200000,163.2653061,16327.64254,4.296455424,3995.340133,9151.884625,4992.142857,4.97ms,blockpropagation
7,16350000,163.2653061,16282.35671,4.832867884,3711.894674,7592.335778,4995,4.47ms,blockpropagation
7,16500000,163.2653061,16321.09824,4.299570354,3805.61925,10263.53913,4992.142857,4.85ms,blockpropagation
