period,gaslimit,readtime,dbwritetime,dbreaadtime,blockcommittime,tps,latency,contracttime
23,25500000,4.92ms,7390.083888888889µs,3956.8303877551016µs,4988.5ms,49.68944099,16251.314112903226ms,3.0148259561667383ms
23,27000000,4.59ms,7547.148000000001µs,2981.7636938775504µs,4990.333333333333ms,49.68944099,17261.758875387182ms,3.0113880532874946ms
23,28500000,4.29ms,7371.320777777778µs,3689.5705102040815µs,4987.5ms,49.68944099,16928.98576665948ms,3.011602922217447ms
23,30000000,4.42ms,7641.09111111111µs,3675.391347826087µs,4988.5ms,49.68944099,17389.246234067206ms,3.0122475290073054ms
24,15000000,4.69ms,7444.065555555555µs,3835.6973958333333µs,4988.166666666667ms,47.61904762,16881.54482090997ms,3.011710356682424ms
24,16500000,4.18ms,7931.202444444444µs,3279.4320666666667µs,4988ms,47.61904762,16707.31893213776ms,3.0112806188225183ms
24,18000000,5.54ms,7897.148444444444µs,3735.9977799999992µs,4986.833333333333ms,47.61904762,17002.19036372225ms,3.0113880532874946ms
24,19500000,4.8ms,8538.227555555557µs,4195.388µs,4986.333333333333ms,47.61904762,17284.208149337617ms,3.0119252256123765ms
24,21000000,4.66ms,8532.942777777778µs,3369.1056304347817µs,4989.333333333333ms,47.61904762,16846.10318985396ms,3.0125698324022347ms
24,22500000,4.15ms,8336.531µs,3770.548021276596µs,4989.166666666667ms,47.61904762,17946.528720337104ms,3.0119252256123765ms
24,24000000,4.6ms,9143.82988888889µs,3228.335709090907µs,4990ms,47.61904762,15900.193436960277ms,3.011710356682424ms
24,25500000,4.92ms,8075.965777777779µs,3264.2700588235293µs,4989ms,47.61904762,16237.774765796292ms,3.012140094542329ms
24,27000000,4.55ms,8254.120666666666µs,4211.279977777777µs,4988.5ms,47.61904762,17034.603015075376ms,3.011710356682424ms
24,28500000,3.97ms,9050.85611111111µs,3660.926307692309µs,4988.666666666667ms,47.61904762,17518.929534313724ms,3.012140094542329ms
24,30000000,5.52ms,8799.437333333331µs,3813.4938867924525µs,4988.5ms,47.61904762,17473.455948121646ms,3.0131070047271167ms
25,15000000,4.42ms,8541.772µs,3864.5268260869575µs,4989.333333333333ms,45.71428571,17364.007243289307ms,3.011710356682424ms
25,16500000,5.11ms,8447.406777777778µs,4017.5512321428573µs,4989ms,45.71428571,16205.101713532513ms,3.0184787279759346ms
25,18000000,4.91ms,9560.921111111109µs,3651.782422222222µs,4986.166666666667ms,45.71428571,17111.960966542752ms,3.012032660077353ms
25,19500000,5.38ms,8441.593888888889µs,3590.857124999999µs,4984.666666666667ms,45.71428571,17088.171931956258ms,3.0110657498925657ms
25,21000000,4.19ms,8922.259µs,3739.4823617021284µs,4990.5ms,45.71428571,16807.31188542112ms,3.012032660077353ms
25,22500000,4.84ms,8005.4251111111125µs,3172.0495849056597µs,4989.666666666667ms,45.71428571,17273.236465161448ms,3.0118177911474002ms
25,24000000,4.95ms,9900.479888888887µs,3501.3678596491222µs,4990.5ms,45.71428571,17704.50045829514ms,3.014073914911904ms
25,25500000,4.59ms,8607.874333333333µs,3880.1502499999992µs,4988.666666666667ms,45.71428571,16827.67154690811ms,3.011602922217447ms
25,27000000,5.2ms,8624.452555555554µs,3746.2081914893624µs,4989.833333333333ms,45.71428571,16860.470642201835ms,3.011710356682424ms
25,28500000,5.2ms,9043.200888888889µs,4073.1139347826083µs,4989.666666666667ms,45.71428571,16766.12700041034ms,3.011602922217447ms
25,30000000,4.73ms,8702.980111111112µs,3368.7781749999995µs,4989ms,45.71428571,17235.50382910117ms,3.0122475290073054ms
